policy_type,drift_type,mean,std,count
drift_triggered,abrupt,0.6959540740740741,0.017210292819048057,27
drift_triggered,gradual,0.6993644444444445,0.01684017662371594,27
drift_triggered,recurring,0.7179985185185186,0.017106301066634386,27
error_threshold,abrupt,0.7038237037037037,0.018833712030078158,27
error_threshold,gradual,0.7081348148148149,0.01785456166025289,27
error_threshold,recurring,0.7279422222222223,0.01844516975198351,27
no_retrain,abrupt,0.7046533333333334,0.02271455333774651,3
no_retrain,gradual,0.7098666666666666,0.021395114707178652,3
no_retrain,recurring,0.72964,0.022263836147438765,3
periodic,abrupt,0.6933792592592594,0.018218608814135753,27
periodic,gradual,0.6974207407407407,0.016978590574359707,27
periodic,recurring,0.714754074074074,0.01791748850430762,27
