budget,policy_type,drift_type,mean,std,count
5,drift_triggered,abrupt,0.69792,0.017054899589267588,9
5,drift_triggered,gradual,0.7004355555555555,0.017543459686668983,9
5,drift_triggered,recurring,0.7198133333333333,0.017009162236865157,9
5,error_threshold,abrupt,0.7046044444444445,0.019907128818033394,9
5,error_threshold,gradual,0.7087155555555555,0.018815423932980566,9
5,error_threshold,recurring,0.72884,0.01924690104925988,9
5,periodic,abrupt,0.6943822222222222,0.018064718222115795,9
5,periodic,gradual,0.6985155555555556,0.017293194550972283,9
5,periodic,recurring,0.71592,0.01915838197760971,9
10,drift_triggered,abrupt,0.69592,0.0181537323986006,9
10,drift_triggered,gradual,0.6992622222222222,0.018028145895916323,9
10,drift_triggered,recurring,0.7183066666666666,0.01770204507959464,9
10,error_threshold,abrupt,0.7038222222222222,0.019522767335714602,9
10,error_threshold,gradual,0.7084666666666667,0.018588738526322857,9
10,error_threshold,recurring,0.7281244444444445,0.019128256004606832,9
10,periodic,abrupt,0.6924355555555555,0.0189594667060489,9
10,periodic,gradual,0.6966977777777777,0.018238531860992693,9
10,periodic,recurring,0.7142488888888888,0.01819041261519681,9
20,drift_triggered,abrupt,0.6940222222222222,0.018266243304096316,9
20,drift_triggered,gradual,0.6983955555555555,0.016927107779469555,9
20,drift_triggered,recurring,0.7158755555555555,0.018424890170032987,9
20,error_threshold,abrupt,0.7030444444444445,0.01933913591083582,9
20,error_threshold,gradual,0.7072222222222222,0.018304394129400846,9
20,error_threshold,recurring,0.7268622222222222,0.019160877966430564,9
20,periodic,abrupt,0.69332,0.019768651952017387,9
20,periodic,gradual,0.6970488888888888,0.017409626966454827,9
20,periodic,recurring,0.7140933333333334,0.018523660545367342,9
