drift_type,drift_point,policy_type,error_threshold,window_size,budget,retrain_latency,deploy_latency,overall_accuracy,pre_drift_accuracy,post_drift_accuracy,accuracy_drop,total_retrains,budget_utilization,retrains_before_drift,retrains_after_drift,random_seed
recurring,25000,periodic,,,5,500,20,0.70868,0.72444,0.69292,-0.03151999999999999,5,1.0,3,2,2
recurring,25000,periodic,,,10,10,1,0.70722,0.72208,0.69236,-0.02972000000000008,10,1.0,5,5,2
recurring,25000,periodic,,,10,100,5,0.70778,0.7218,0.69376,-0.028039999999999954,10,1.0,5,5,2
recurring,25000,periodic,,,10,500,20,0.70682,0.7232,0.69044,-0.0327599999999999,10,1.0,5,5,2
recurring,25000,periodic,,,20,10,1,0.7074,0.72188,0.69292,-0.028959999999999986,20,1.0,10,10,2
recurring,25000,periodic,,,20,100,5,0.70856,0.72508,0.69204,-0.03303999999999996,20,1.0,10,10,2
recurring,25000,periodic,,,20,500,20,0.70566,0.72148,0.68984,-0.03164,20,1.0,10,10,2
abrupt,25000,periodic,,,5,10,1,0.74158,0.7644,0.71876,-0.045640000000000014,5,1.0,3,2,3
abrupt,25000,periodic,,,5,100,5,0.74048,0.76308,0.71788,-0.04520000000000002,5,1.0,3,2,3
abrupt,25000,periodic,,,5,500,20,0.74074,0.76332,0.71816,-0.04515999999999998,5,1.0,3,2,3
abrupt,25000,periodic,,,10,10,1,0.74006,0.76156,0.71856,-0.04300000000000004,10,1.0,5,5,3
abrupt,25000,periodic,,,10,100,5,0.73978,0.76272,0.71684,-0.04587999999999992,10,1.0,5,5,3
abrupt,25000,periodic,,,10,500,20,0.73908,0.7616,0.71656,-0.04504000000000008,10,1.0,5,5,3
abrupt,25000,periodic,,,20,10,1,0.73944,0.7604,0.71848,-0.04191999999999996,20,1.0,10,10,3
abrupt,25000,periodic,,,20,100,5,0.73978,0.76004,0.71952,-0.04052,20,1.0,10,10,3
abrupt,25000,periodic,,,20,500,20,0.74092,0.7624,0.71944,-0.04296,20,1.0,10,10,3
gradual,25000,periodic,,,5,10,1,0.74236,0.76364,0.72108,-0.04255999999999993,5,1.0,3,2,3
gradual,25000,periodic,,,5,100,5,0.74156,0.76296,0.72016,-0.04279999999999995,5,1.0,3,2,3
gradual,25000,periodic,,,5,500,20,0.74162,0.7634,0.71984,-0.04355999999999993,5,1.0,3,2,3
gradual,25000,periodic,,,10,10,1,0.74124,0.76272,0.71976,-0.04296,10,1.0,5,5,3
gradual,25000,periodic,,,10,100,5,0.74236,0.76372,0.721,-0.04271999999999998,10,1.0,5,5,3
gradual,25000,periodic,,,10,500,20,0.74126,0.76336,0.71916,-0.04420000000000002,10,1.0,5,5,3
gradual,25000,periodic,,,20,10,1,0.73918,0.76008,0.71828,-0.04179999999999995,20,1.0,10,10,3
gradual,25000,periodic,,,20,100,5,0.7407,0.76204,0.71936,-0.04268000000000005,20,1.0,10,10,3
gradual,25000,periodic,,,20,500,20,0.74038,0.7616,0.71916,-0.04244000000000003,20,1.0,10,10,3
recurring,25000,periodic,,,5,10,1,0.74968,0.76276,0.7366,-0.02615999999999996,5,1.0,3,2,3
recurring,25000,periodic,,,5,100,5,0.74876,0.76188,0.73564,-0.02624000000000004,5,1.0,3,2,3
recurring,25000,periodic,,,5,500,20,0.7506,0.76216,0.73904,-0.02311999999999992,5,1.0,3,2,3
recurring,25000,periodic,,,10,10,1,0.74894,0.76188,0.736,-0.025880000000000014,10,1.0,5,5,3
recurring,25000,periodic,,,10,100,5,0.74714,0.76172,0.73256,-0.029159999999999964,10,1.0,5,5,3
recurring,25000,periodic,,,10,500,20,0.74686,0.76068,0.73304,-0.027639999999999998,10,1.0,5,5,3
recurring,25000,periodic,,,20,10,1,0.74782,0.7626,0.73304,-0.02955999999999992,20,1.0,10,10,3
recurring,25000,periodic,,,20,100,5,0.74652,0.76052,0.73252,-0.028000000000000025,20,1.0,10,10,3
recurring,25000,periodic,,,20,500,20,0.7492,0.76196,0.73644,-0.025519999999999987,20,1.0,10,10,3
