budget,policy_type,drift_type,mean,std,count
5,drift_triggered,abrupt,0.9575155555555556,0.022849275213401816,9
5,drift_triggered,gradual,0.9552,0.014190644805645693,9
5,drift_triggered,recurring,0.96972,0.013672380919210815,9
5,error_threshold,abrupt,0.9576666666666667,0.0229939470295989,9
5,error_threshold,gradual,0.9562400000000001,0.01569419000777035,9
5,error_threshold,recurring,0.9708088888888889,0.01280590141735873,9
5,periodic,abrupt,0.9543244444444444,0.02389129920656848,9
5,periodic,gradual,0.9537911111111111,0.016056298175828498,9
5,periodic,recurring,0.968871111111111,0.013774320713237103,9
10,drift_triggered,abrupt,0.95736,0.02297479488482979,9
10,drift_triggered,gradual,0.9552,0.014190644805645693,9
10,drift_triggered,recurring,0.9691866666666668,0.013768761745342252,9
10,error_threshold,abrupt,0.9574311111111111,0.022645942486704162,9
10,error_threshold,gradual,0.9562177777777777,0.015662108556782618,9
10,error_threshold,recurring,0.97072,0.012664596322030939,9
10,periodic,abrupt,0.9526311111111111,0.026751028225305885,9
10,periodic,gradual,0.95216,0.017362580453377307,9
10,periodic,recurring,0.96708,0.015226529479825685,9
20,drift_triggered,abrupt,0.95708,0.02313197786614881,9
20,drift_triggered,gradual,0.9552,0.014190644805645693,9
20,drift_triggered,recurring,0.9691822222222223,0.013515133904051574,9
20,error_threshold,abrupt,0.957808888888889,0.023204851025402234,9
20,error_threshold,gradual,0.9562222222222222,0.015668364447013753,9
20,error_threshold,recurring,0.9708577777777777,0.012867837597842331,9
20,periodic,abrupt,0.9510133333333334,0.027678663262520473,9
20,periodic,gradual,0.9501733333333333,0.018219297461757454,9
20,periodic,recurring,0.9666266666666667,0.01662302018286693,9
