policy_type,drift_type,acc_gain_per_retrain,pre_drift_waste_frac
periodic,abrupt,0.11122405228758171,0.5142857142857143
periodic,gradual,0.11153986928104574,0.5142857142857143
periodic,recurring,0.0723524183006536,0.5142857142857143
error_threshold,abrupt,0.27321769230769233,0.7678571428571429
error_threshold,gradual,0.2335179310344827,0.7467248908296943
error_threshold,recurring,0.16043323076923077,0.7410358565737053
drift_triggered,abrupt,0.09946909090909091,0.5925925925925926
drift_triggered,gradual,0.25313886792452833,0.7937743190661478
drift_triggered,recurring,0.1449257142857143,0.7240143369175627
