budget,policy_type,drift_type,mean,std,count
5,drift_triggered,abrupt,0.5815111111111111,0.22569578266133178,9
5,drift_triggered,gradual,0.6925644444444444,0.1913133685286467,9
5,drift_triggered,recurring,0.7509733333333333,0.16800424756535173,9
5,error_threshold,abrupt,0.7113511111111112,0.1527415631421622,9
5,error_threshold,gradual,0.7556088888888889,0.17081578940809633,9
5,error_threshold,recurring,0.7392222222222222,0.15001200766753456,9
5,periodic,abrupt,0.8673822222222223,0.055764971482503624,9
5,periodic,gradual,0.8879866666666667,0.05444681808884703,9
5,periodic,recurring,0.86092,0.0727677785836561,9
10,drift_triggered,abrupt,0.6657111111111111,0.24713627801500757,9
10,drift_triggered,gradual,0.8042844444444444,0.16786235128157173,9
10,drift_triggered,recurring,0.7916088888888889,0.12819556275905616,9
10,error_threshold,abrupt,0.7442,0.21482019644344433,9
10,error_threshold,gradual,0.7405066666666666,0.25334153942849563,9
10,error_threshold,recurring,0.7169511111111111,0.1958086257321447,9
10,periodic,abrupt,0.8943422222222223,0.04310292385029633,9
10,periodic,gradual,0.8970844444444445,0.02713537502555988,9
10,periodic,recurring,0.61948,0.2947809478239731,9
20,drift_triggered,abrupt,0.6070177777777778,0.2908392615250638,9
20,drift_triggered,gradual,0.8004977777777778,0.21534730192051266,9
20,drift_triggered,recurring,0.7108177777777778,0.1796056615044315,9
20,error_threshold,abrupt,0.88312,0.11972159704915397,9
20,error_threshold,gradual,0.8154177777777778,0.19770264450544014,9
20,error_threshold,recurring,0.7159911111111111,0.25961495009169083,9
20,periodic,abrupt,0.8891644444444444,0.024693354931595978,9
20,periodic,gradual,0.9177466666666666,0.012929021618049845,9
20,periodic,recurring,0.763071111111111,0.1287538376558583,9
